ic,rab,rba,rbc,t,y1,y2,y3
66,66,1.1,1.6,0.1,10,0.409686392295872,0.271454887859,0.318858719845127
67,67,1.1,1.6,0.6,10,0.0814711267664723,0.0451217988605722,0.873407074372955
68,68,1.1,1.6,1.1,10,0.0227116752861765,0.0106346473938693,0.96665367731996
69,69,1.1,1.6,1.6,10,0.00830064379934129,0.00333007526996636,0.988369280930693
70,70,1.1,1.6,2.1,10,0.00374099294103434,0.00130330947814199,0.994955697580823
71,71,1.1,2.1,0.1,10,0.478528331933362,0.242983695486796,0.278487972579841
72,72,1.1,2.1,0.6,10,0.118221301027885,0.0516546246741128,0.830124074298002
73,73,1.1,2.1,1.1,10,0.038001148127748,0.0144276845543537,0.947571167317905
74,74,1.1,2.1,1.6,10,0.0151104020735052,0.00503680069116839,0.979852797235327
75,75,1.1,2.1,2.1,10,0.00711168176323451,0.00210244793191503,0.99078587030485
76,76,1.6,0.1,0.1,10,0.0257921508426223,0.388487437944103,0.585720411213275
77,77,1.6,0.1,0.6,10,0.000527008384902315,0.00554428964783299,0.993928701967261
78,78,1.6,0.1,1.1,10,2.01268999383021e-05,0.000130202557436242,0.999849670542624
79,79,1.6,0.1,1.6,10,2.16115848586389e-06,7.62705032386443e-06,0.999990211791191
80,80,1.6,0.1,2.1,10,6.65196134770283e-07,1.33031678643226e-06,0.999998004487081
81,81,1.6,0.6,0.1,10,0.142073290314529,0.361858996423944,0.496067713261538
82,82,1.6,0.6,0.6,10,0.00732625554765045,0.0146525110197983,0.978021233432551
83,83,1.6,0.6,1.1,10,0.000653786159189505,0.00101453537871686,0.998331678462095
84,84,1.6,0.6,1.6,10,0.000102115176469369,0.00012333727581513,0.999774547547715
85,85,1.6,0.6,2.1,10,2.59689192640632e-05,2.48267305637384e-05,0.999949204350174
86,86,1.6,1.1,0.1,10,0.23736265071287,0.332661766844339,0.429975582442791
87,87,1.6,1.1,0.6,10,0.0206454802990624,0.0239786331225037,0.955375886578433
88,88,1.6,1.1,1.1,10,0.0027604451898817,0.00266043438831254,0.994579120421803
89,89,1.6,1.1,1.6,10,0.000548948131266538,0.000442222963857564,0.999008828904875
90,90,1.6,1.1,2.1,10,0.000153030064734581,0.000104226459169782,0.999742743476097
91,91,1.6,1.6,0.1,10,0.315189978635785,0.305494155604927,0.37931586575929
92,92,1.6,1.6,0.6,10,0.0389613798866385,0.0323350733556971,0.928703546757678
93,93,1.6,1.6,1.1,10,0.00678697323205704,0.00484374585434149,0.988369280913603
94,94,1.6,1.6,1.6,10,0.00160446756624518,0.000991615489786347,0.997403916943967
95,95,1.6,1.6,2.1,10,0.000491474634137971,0.000265324399972127,0.999243200965889
96,96,1.6,2.1,0.1,10,0.379368692788859,0.281350221266926,0.339281085944215
97,97,1.6,2.1,0.6,10,0.0606357930116886,0.0393776324267216,0.89998657456159
98,98,1.6,2.1,1.1,10,0.0128209472234445,0.00732625555625398,0.979852797220301
99,99,1.6,2.1,1.6,10,0.0034650770189168,0.00175310294530378,0.994781820035781
100,100,1.6,2.1,2.1,10,0.00115405678479218,0.000520545833799682,0.998325397381407
101,101,2.1,0.1,0.1,10,0.0191565962761551,0.384042079865385,0.596801323858464
102,102,2.1,0.1,0.6,10,0.000292084375689851,0.00448834087408811,0.995219574750218
103,103,2.1,0.1,1.1,10,6.28933926958553e-06,6.86948285074432e-05,0.999925015832221
104,104,2.1,0.1,1.6,10,2.49473225370078e-07,1.74604838092699e-06,0.999998004478392
105,105,2.1,0.1,2.1,10,2.5605611281449e-08,1.05214425252703e-07,0.999999869179967
106,106,2.1,0.6,0.1,10,0.108869333419776,0.367048540343116,0.5240821262371
107,107,2.1,0.6,0.6,10,0.00382903825407381,0.0105894520226085,0.985581509723319
108,108,2.1,0.6,1.1,10,0.000206695498734594,0.000461680379664661,0.999331624121601
109,109,2.1,0.6,1.6,10,1.8210597701613e-05,3.25851406565947e-05,0.999949204261639
110,110,2.1,0.6,2.1,10,2.64049813381859e-06,3.79305358158886e-06,0.999993566448285
111,111,2.1,1.1,0.1,10,0.187081719106249,0.346115934021598,0.466802346872159
112,112,2.1,1.1,0.6,10,0.011073118508497,0.0174449026737698,0.971481978817738
113,113,2.1,1.1,1.1,10,0.000954913273000453,0.00127671091411155,0.997768375812886
114,114,2.1,1.1,1.6,10,0.000120459297011764,0.000136797228532207,0.999742743474453
115,115,2.1,1.1,2.1,10,2.17250767804791e-05,2.10599534334168e-05,0.999957214969788
116,116,2.1,1.6,0.1,10,0.254394489861511,0.324974474853757,0.420631035284734
117,117,2.1,1.6,0.6,10,0.021728633106947,0.0242235158750908,0.954047851017969
118,118,2.1,1.6,1.1,10,0.00255616614962634,0.00248813628317207,0.994955697567203
